Neighborhood;BldClassif;YearBuilt;GrossSqFt;GrossIncomeSqFt;MarketValueperSqFt
17;1;1920;23380;14.18;30.1
19;2;1910;7550;38;177
32;1;1965;197904;38;155
7;1;1927;44876;23;95
9;1;1920;11224;33;154
6;1;1911;31000;27;112
1;1;1940;143244;32;149
4;1;1928;233923;28.9;135
1;2;1910;8000;41;201
6;2;1910;10945;31;144
4;1;1962;44750;32;149
7;1;1927;282295;23;95
18;1;1935;91968;15;51
5;2;1979;13156;36.9;172
4;1;1951;154575;29;135
4;1;1965;255420;30;140
3;1;1920;74899;23;95
27;1;1928;97896;38.1;187
12;2;1905;13535;16;33.9
15;1;1963;371863;29.6;138
30;2;1920;9336;46;97
7;1;1915;21692;31;66
7;1;1900;28206;36;168
22;2;1908;17780;14;29.7
4;1;1963;260000;30;140
33;0;1900;41203;36.5;170
29;1;1930;11666;35;163
10;2;1910;15430;21.92;46.5
19;1;1930;88181;30;139
16;1;1925;63527;14;43.6
22;2;1925;32540;12;33.8
2;1;1922;62409;38.1;187
4;1;1985;50676;34;158
15;1;1963;80977;40;196
2;1;1929;141877;32.8;153
1;1;1970;27888;35;163
4;2;1915;9675;33;154
16;1;1956;70245;14;43.6
4;1;1911;128635;34;159
26;2;1900;23260;28.9;120
12;2;1930;20787;15;31.8
9;1;1916;39466;33;154
25;1;1900;37802;36.8;171
2;2;1900;11210;39;192
22;1;1963;646044;15;31.7
4;1;1927;203706;34;159
9;1;1900;309608;37;172
28;2;1928;11802;34.6;161
25;1;1960;47000;38.1;187
7;2;1900;11855;35;74
19;1;1928;73676;30;140
4;1;1923;68542;36;168
20;1;1964;415000;25;104
17;1;1920;65036;15.97;33.8
9;1;1905;41800;33;154
15;1;1963;201369;27.6;114
25;1;1920;14981;35;163
15;0;1909;68671;26.9;112
15;2;1911;6175;38.1;177
25;1;1987;150340;38.6;190
9;1;1917;63495;35;164
30;1;1910;29085;33;154
7;1;1915;84026;22;91
27;1;1929;121406;29.4;137
18;1;1961;222714;13;27.6
4;2;1920;8590;34.5;161
2;1;1929;121128;33;154
28;2;1900;19354;25.1;53
7;1;1912;33102;28;131
2;0;1906;46350;34.5;161
18;1;1926;66456;16;54
7;1;1930;608532;30;124
14;2;1900;20190;42;206
18;2;1924;18340;14;43.6
12;1;1904;29750;12.81;36
5;2;1900;6300;38.9;190
2;1;1929;160896;32.9;154
4;1;1958;35000;36.5;170
12;2;1910;12745;16;33.9
11;1;1930;46416;18.59;39.4
25;1;1959;193695;33.6;156
8;1;1930;23472;37;173
6;2;1920;59043;30;64
4;2;1920;7650;46.8;230
15;0;1910;28250;23.01;95
11;1;1941;34692;22.33;93
